,image-name,label,label-name,image-array
0,1.jpg,37,bonus-winter,"[[[0.7254902  0.7176471  0.65882355]
  [0.7019608  0.6901961  0.6313726 ]
  [0.6627451  0.6509804  0.58431375]
  ...
  [0.4392157  0.43137255 0.37254903]
  [0.39215687 0.38431373 0.3254902 ]
  [0.3647059  0.35686275 0.29803923]]

 [[0.7294118  0.72156864 0.6627451 ]
  [0.7019608  0.6901961  0.6313726 ]
  [0.65882355 0.64705884 0.5803922 ]
  ...
  [0.59607846 0.5882353  0.5294118 ]
  [0.5568628  0.54901963 0.49019608]
  [0.53333336 0.5254902  0.46666667]]

 [[0.7294118  0.72156864 0.6627451 ]
  [0.7019608  0.6901961  0.6313726 ]
  [0.65882355 0.64705884 0.5803922 ]
  ...
  [0.73333335 0.7254902  0.6666667 ]
  [0.7019608  0.69411767 0.63529414]
  [0.6784314  0.67058825 0.6117647 ]]

 ...

 [[0.7176471  0.68235296 0.6156863 ]
  [0.70980394 0.6745098  0.60784316]
  [0.69411767 0.65882355 0.5921569 ]
  ...
  [0.6784314  0.64705884 0.59607846]
  [0.6745098  0.6431373  0.5921569 ]
  [0.67058825 0.6392157  0.5882353 ]]

 [[0.7294118  0.69411767 0.627451  ]
  [0.72156864 0.6862745  0.61960787]
  [0.70980394 0.6745098  0.60784316]
  ...
  [0.72156864 0.6901961  0.6392157 ]
  [0.70980394 0.6784314  0.627451  ]
  [0.7019608  0.67058825 0.61960787]]

 [[0.7529412  0.7176471  0.6509804 ]
  [0.7411765  0.7058824  0.6392157 ]
  [0.7254902  0.6901961  0.62352943]
  ...
  [0.7529412  0.72156864 0.67058825]
  [0.7294118  0.69803923 0.64705884]
  [0.70980394 0.6784314  0.627451  ]]]"
1,2.jpg,25,characters-8,"[[[0.30980393 0.18039216 0.15294118]
  [0.20784314 0.09019608 0.05882353]
  [0.23137255 0.1254902  0.09019608]
  ...
  [0.8235294  0.7372549  0.6862745 ]
  [0.8156863  0.7294118  0.6784314 ]
  [0.80784315 0.7137255  0.6666667 ]]

 [[0.22745098 0.09803922 0.07058824]
  [0.27450982 0.15686275 0.1254902 ]
  [0.40784314 0.3019608  0.26666668]
  ...
  [0.81960785 0.73333335 0.68235296]
  [0.8117647  0.7254902  0.6745098 ]
  [0.80784315 0.7137255  0.6666667 ]]

 [[0.16078432 0.03137255 0.00392157]
  [0.36862746 0.2509804  0.21960784]
  [0.6039216  0.49803922 0.4627451 ]
  ...
  [0.8156863  0.7294118  0.6784314 ]
  [0.80784315 0.72156864 0.67058825]
  [0.80784315 0.7137255  0.6666667 ]]

 ...

 [[0.37254903 0.24313726 0.1764706 ]
  [0.44705883 0.32156864 0.2627451 ]
  [0.56078434 0.44705883 0.38431373]
  ...
  [0.8392157  0.7882353  0.7254902 ]
  [0.8235294  0.77254903 0.70980394]
  [0.8117647  0.7607843  0.69803923]]

 [[0.49019608 0.3764706  0.30588236]
  [0.58431375 0.47843137 0.4117647 ]
  [0.7058824  0.6039216  0.5372549 ]
  ...
  [0.8352941  0.78431374 0.72156864]
  [0.83137256 0.78039217 0.7176471 ]
  [0.827451   0.7764706  0.7137255 ]]

 [[0.6039216  0.49803922 0.42352942]
  [0.7019608  0.6        0.53333336]
  [0.8        0.70980394 0.6392157 ]
  ...
  [0.81960785 0.76862746 0.7058824 ]
  [0.8235294  0.77254903 0.70980394]
  [0.83137256 0.78039217 0.7176471 ]]]"
2,3.jpg,8,dots-9,"[[[0.69411767 0.6392157  0.6039216 ]
  [0.72156864 0.6666667  0.6313726 ]
  [0.7607843  0.7058824  0.6627451 ]
  ...
  [0.8235294  0.7764706  0.72156864]
  [0.8156863  0.76862746 0.7137255 ]
  [0.8039216  0.76862746 0.70980394]]

 [[0.7411765  0.6862745  0.6509804 ]
  [0.7607843  0.7058824  0.67058825]
  [0.78431374 0.7294118  0.6862745 ]
  ...
  [0.827451   0.78039217 0.7254902 ]
  [0.81960785 0.77254903 0.7176471 ]
  [0.80784315 0.77254903 0.7137255 ]]

 [[0.76862746 0.7137255  0.6784314 ]
  [0.78039217 0.7254902  0.6901961 ]
  [0.7882353  0.73333335 0.6901961 ]
  ...
  [0.83137256 0.78431374 0.7294118 ]
  [0.827451   0.78039217 0.7254902 ]
  [0.8156863  0.78039217 0.72156864]]

 ...

 [[0.30980393 0.13333334 0.10980392]
  [0.3529412  0.18431373 0.15686275]
  [0.4117647  0.25882354 0.23137255]
  ...
  [0.79607844 0.7490196  0.7019608 ]
  [0.8        0.7529412  0.7058824 ]
  [0.8156863  0.76862746 0.72156864]]

 [[0.3254902  0.15686275 0.13333334]
  [0.3764706  0.21568628 0.19215687]
  [0.49803922 0.3529412  0.32941177]
  ...
  [0.8156863  0.76862746 0.72156864]
  [0.81960785 0.77254903 0.7254902 ]
  [0.8392157  0.7921569  0.74509805]]

 [[0.4117647  0.2509804  0.23529412]
  [0.4627451  0.30980393 0.2901961 ]
  [0.5882353  0.44313726 0.41960785]
  ...
  [0.8117647  0.7647059  0.7176471 ]
  [0.8156863  0.76862746 0.72156864]
  [0.8352941  0.7882353  0.7411765 ]]]"
3,4.jpg,35,bonus-summer,"[[[0.32941177 0.27450982 0.22352941]
  [0.52156866 0.46666667 0.41568628]
  [0.68235296 0.627451   0.5764706 ]
  ...
  [0.8352941  0.7882353  0.7411765 ]
  [0.84313726 0.79607844 0.7490196 ]
  [0.84705883 0.8        0.7529412 ]]

 [[0.41960785 0.3647059  0.3137255 ]
  [0.58431375 0.5294118  0.47843137]
  [0.7137255  0.65882355 0.60784316]
  ...
  [0.83137256 0.78431374 0.7372549 ]
  [0.8392157  0.7921569  0.74509805]
  [0.84313726 0.79607844 0.7490196 ]]

 [[0.54509807 0.49019608 0.4392157 ]
  [0.67058825 0.6156863  0.5647059 ]
  [0.7490196  0.69411767 0.6431373 ]
  ...
  [0.827451   0.78039217 0.73333335]
  [0.83137256 0.78431374 0.7372549 ]
  [0.83137256 0.78431374 0.7372549 ]]

 ...

 [[0.3764706  0.16470589 0.0627451 ]
  [0.34901962 0.13725491 0.04313726]
  [0.3529412  0.13725491 0.05490196]
  ...
  [0.8352941  0.78039217 0.7294118 ]
  [0.83137256 0.7764706  0.7254902 ]
  [0.827451   0.77254903 0.72156864]]

 [[0.38039216 0.18039216 0.07450981]
  [0.34901962 0.14901961 0.04313726]
  [0.34901962 0.15294118 0.05490196]
  ...
  [0.8352941  0.78039217 0.7294118 ]
  [0.83137256 0.7764706  0.7254902 ]
  [0.827451   0.77254903 0.72156864]]

 [[0.3647059  0.16862746 0.0627451 ]
  [0.34509805 0.14901961 0.04313726]
  [0.3529412  0.15686275 0.05882353]
  ...
  [0.8392157  0.78431374 0.73333335]
  [0.83137256 0.7764706  0.7254902 ]
  [0.827451   0.77254903 0.72156864]]]"
4,5.jpg,27,honors-east,"[[[0.8235294  0.7764706  0.72156864]
  [0.8235294  0.7764706  0.72156864]
  [0.8235294  0.7764706  0.72156864]
  ...
  [0.83137256 0.79607844 0.7372549 ]
  [0.8235294  0.7882353  0.7294118 ]
  [0.827451   0.7921569  0.73333335]]

 [[0.827451   0.78039217 0.7254902 ]
  [0.827451   0.78039217 0.7254902 ]
  [0.8235294  0.7764706  0.72156864]
  ...
  [0.8509804  0.8156863  0.75686276]
  [0.8509804  0.8156863  0.75686276]
  [0.8627451  0.827451   0.76862746]]

 [[0.83137256 0.78431374 0.7294118 ]
  [0.83137256 0.78431374 0.7294118 ]
  [0.827451   0.78039217 0.7254902 ]
  ...
  [0.8980392  0.8627451  0.8039216 ]
  [0.9137255  0.8784314  0.81960785]
  [0.9372549  0.9019608  0.84313726]]

 ...

 [[0.81960785 0.7647059  0.7137255 ]
  [0.81960785 0.7647059  0.7137255 ]
  [0.81960785 0.7647059  0.7137255 ]
  ...
  [0.79607844 0.7490196  0.7019608 ]
  [0.79607844 0.7490196  0.7019608 ]
  [0.8        0.7529412  0.7058824 ]]

 [[0.8235294  0.76862746 0.7176471 ]
  [0.8235294  0.76862746 0.7176471 ]
  [0.8235294  0.76862746 0.7176471 ]
  ...
  [0.8156863  0.76862746 0.72156864]
  [0.8117647  0.7647059  0.7176471 ]
  [0.8117647  0.7647059  0.7176471 ]]

 [[0.80784315 0.7529412  0.7019608 ]
  [0.80784315 0.7529412  0.7019608 ]
  [0.8117647  0.75686276 0.7058824 ]
  ...
  [0.83137256 0.78431374 0.7372549 ]
  [0.827451   0.78039217 0.73333335]
  [0.827451   0.78039217 0.73333335]]]"
5,6.jpg,36,bonus-autumn,"[[[0.7882353  0.7529412  0.69411767]
  [0.7882353  0.7529412  0.69411767]
  [0.7882353  0.7529412  0.69411767]
  ...
  [0.78039217 0.7490196  0.69803923]
  [0.78039217 0.7490196  0.69803923]
  [0.78431374 0.7529412  0.7019608 ]]

 [[0.78431374 0.7490196  0.6901961 ]
  [0.7882353  0.7529412  0.69411767]
  [0.7882353  0.7529412  0.69411767]
  ...
  [0.78039217 0.7490196  0.69803923]
  [0.78039217 0.7490196  0.69803923]
  [0.78039217 0.7490196  0.69803923]]

 [[0.78431374 0.7490196  0.6901961 ]
  [0.78431374 0.7490196  0.6901961 ]
  [0.7882353  0.7529412  0.69411767]
  ...
  [0.77254903 0.7411765  0.6901961 ]
  [0.77254903 0.7411765  0.6901961 ]
  [0.77254903 0.7411765  0.6901961 ]]

 ...

 [[0.2509804  0.10980392 0.04705882]
  [0.24313726 0.10196079 0.03921569]
  [0.24313726 0.10196079 0.03921569]
  ...
  [0.05882353 0.         0.        ]
  [0.05882353 0.         0.        ]
  [0.0627451  0.         0.        ]]

 [[0.25490198 0.10980392 0.03921569]
  [0.24313726 0.09803922 0.02745098]
  [0.23921569 0.09411765 0.02352941]
  ...
  [0.06666667 0.00392157 0.00784314]
  [0.07843138 0.01568628 0.01960784]
  [0.08627451 0.02352941 0.02745098]]

 [[0.27058825 0.11764706 0.05098039]
  [0.25882354 0.10588235 0.03921569]
  [0.25490198 0.10196079 0.03529412]
  ...
  [0.07843138 0.01568628 0.02745098]
  [0.07450981 0.01176471 0.02352941]
  [0.07058824 0.00784314 0.01960784]]]"
6,7.jpg,23,characters-6,"[[[0.80784315 0.73333335 0.6784314 ]
  [0.80784315 0.73333335 0.6784314 ]
  [0.8117647  0.7372549  0.68235296]
  ...
  [0.09803922 0.22745098 0.14509805]
  [0.10196079 0.23137255 0.14901961]
  [0.10196079 0.23137255 0.14901961]]

 [[0.8117647  0.7372549  0.68235296]
  [0.8156863  0.7411765  0.6862745 ]
  [0.81960785 0.74509805 0.6901961 ]
  ...
  [0.08235294 0.21176471 0.12941177]
  [0.07450981 0.20392157 0.12156863]
  [0.05882353 0.1882353  0.10588235]]

 [[0.79607844 0.7254902  0.67058825]
  [0.8156863  0.74509805 0.6901961 ]
  [0.8235294  0.7529412  0.69803923]
  ...
  [0.05882353 0.1882353  0.10588235]
  [0.03921569 0.17254902 0.07843138]
  [0.01960784 0.15294118 0.05882353]]

 ...

 [[0.7607843  0.70980394 0.6431373 ]
  [0.79607844 0.74509805 0.6784314 ]
  [0.827451   0.7764706  0.70980394]
  ...
  [0.21568628 0.31764707 0.20392157]
  [0.16078432 0.3019608  0.19215687]
  [0.11372549 0.28235295 0.17254902]]

 [[0.81960785 0.76862746 0.7019608 ]
  [0.8352941  0.78431374 0.7176471 ]
  [0.84705883 0.79607844 0.7294118 ]
  ...
  [0.19607843 0.29803923 0.18431373]
  [0.14901961 0.2901961  0.18039216]
  [0.10980392 0.2784314  0.16862746]]

 [[0.8666667  0.8156863  0.7490196 ]
  [0.85490197 0.8039216  0.7372549 ]
  [0.84313726 0.7921569  0.7254902 ]
  ...
  [0.19215687 0.29411766 0.18039216]
  [0.15686275 0.29803923 0.1882353 ]
  [0.1254902  0.29411766 0.18431373]]]"
7,8.jpg,15,bamboo-7,"[[[0.73333335 0.68235296 0.60784316]
  [0.7294118  0.6784314  0.6039216 ]
  [0.7411765  0.6901961  0.6156863 ]
  ...
  [0.81960785 0.76862746 0.7058824 ]
  [0.83137256 0.78039217 0.7176471 ]
  [0.8352941  0.78431374 0.72156864]]

 [[0.7490196  0.69803923 0.62352943]
  [0.74509805 0.69411767 0.61960787]
  [0.7490196  0.69803923 0.62352943]
  ...
  [0.827451   0.7764706  0.7137255 ]
  [0.8392157  0.7882353  0.7254902 ]
  [0.84313726 0.7921569  0.7294118 ]]

 [[0.7254902  0.6745098  0.6       ]
  [0.72156864 0.67058825 0.59607846]
  [0.7294118  0.6784314  0.6039216 ]
  ...
  [0.8392157  0.7882353  0.7254902 ]
  [0.84705883 0.79607844 0.73333335]
  [0.84705883 0.79607844 0.73333335]]

 ...

 [[0.72156864 0.6862745  0.627451  ]
  [0.72156864 0.6862745  0.627451  ]
  [0.72156864 0.6862745  0.627451  ]
  ...
  [0.7137255  0.6666667  0.6117647 ]
  [0.7294118  0.68235296 0.627451  ]
  [0.7294118  0.68235296 0.627451  ]]

 [[0.6862745  0.6509804  0.5921569 ]
  [0.6901961  0.654902   0.59607846]
  [0.69803923 0.6627451  0.6039216 ]
  ...
  [0.74509805 0.69803923 0.6431373 ]
  [0.7607843  0.7137255  0.65882355]
  [0.75686276 0.70980394 0.654902  ]]

 [[0.61960787 0.58431375 0.5254902 ]
  [0.627451   0.5921569  0.53333336]
  [0.63529414 0.6        0.5411765 ]
  ...
  [0.7490196  0.7019608  0.64705884]
  [0.7647059  0.7176471  0.6627451 ]
  [0.7647059  0.7176471  0.6627451 ]]]"
8,9.jpg,30,honors-north,"[[[0.7529412  0.72156864 0.6784314 ]
  [0.76862746 0.7372549  0.69411767]
  [0.7921569  0.7607843  0.7176471 ]
  ...
  [0.7372549  0.70980394 0.64705884]
  [0.7411765  0.7137255  0.6509804 ]
  [0.7411765  0.7137255  0.6509804 ]]

 [[0.8039216  0.77254903 0.7294118 ]
  [0.8156863  0.78431374 0.7411765 ]
  [0.827451   0.79607844 0.7529412 ]
  ...
  [0.7254902  0.69803923 0.63529414]
  [0.7137255  0.6862745  0.62352943]
  [0.7019608  0.6745098  0.6117647 ]]

 [[0.827451   0.79607844 0.7529412 ]
  [0.83137256 0.8        0.75686276]
  [0.8352941  0.8039216  0.7607843 ]
  ...
  [0.70980394 0.68235296 0.61960787]
  [0.70980394 0.68235296 0.61960787]
  [0.7058824  0.6784314  0.6156863 ]]

 ...

 [[0.49411765 0.48235294 0.42352942]
  [0.5686275  0.5568628  0.49803922]
  [0.654902   0.6431373  0.58431375]
  ...
  [0.7176471  0.6901961  0.627451  ]
  [0.72156864 0.69411767 0.6313726 ]
  [0.7019608  0.6745098  0.6117647 ]]

 [[0.5411765  0.5294118  0.47058824]
  [0.6156863  0.6039216  0.54509807]
  [0.6901961  0.6784314  0.61960787]
  ...
  [0.6666667  0.6392157  0.5764706 ]
  [0.69803923 0.67058825 0.60784316]
  [0.6862745  0.65882355 0.59607846]]

 [[0.627451   0.6156863  0.5568628 ]
  [0.6901961  0.6784314  0.61960787]
  [0.74509805 0.73333335 0.6745098 ]
  ...
  [0.5764706  0.54901963 0.4862745 ]
  [0.65882355 0.6313726  0.5686275 ]
  [0.69411767 0.6666667  0.6039216 ]]]"
9,10.jpg,29,honors-west,"[[[0.5647059  0.53333336 0.48235294]
  [0.65882355 0.627451   0.5764706 ]
  [0.70980394 0.6784314  0.627451  ]
  ...
  [0.7921569  0.7607843  0.70980394]
  [0.8        0.76862746 0.7176471 ]
  [0.80784315 0.7764706  0.7254902 ]]

 [[0.56078434 0.5294118  0.47843137]
  [0.65882355 0.627451   0.5764706 ]
  [0.7176471  0.6862745  0.63529414]
  ...
  [0.79607844 0.7647059  0.7137255 ]
  [0.79607844 0.7647059  0.7137255 ]
  [0.8        0.76862746 0.7176471 ]]

 [[0.54901963 0.5176471  0.46666667]
  [0.6627451  0.6313726  0.5803922 ]
  [0.7294118  0.69803923 0.64705884]
  ...
  [0.8        0.76862746 0.7176471 ]
  [0.7921569  0.7607843  0.70980394]
  [0.78431374 0.7529412  0.7019608 ]]

 ...

 [[0.627451   0.5568628  0.5176471 ]
  [0.49803922 0.42352942 0.39607844]
  [0.18431373 0.11764706 0.09019608]
  ...
  [0.13725491 0.03921569 0.01176471]
  [0.13725491 0.03921569 0.01176471]
  [0.13725491 0.03921569 0.01176471]]

 [[0.60784316 0.5372549  0.49803922]
  [0.47058824 0.39607844 0.36862746]
  [0.16470589 0.09803922 0.07058824]
  ...
  [0.13725491 0.03921569 0.01176471]
  [0.13333334 0.03529412 0.00784314]
  [0.12941177 0.03137255 0.00392157]]

 [[0.57254905 0.5019608  0.4627451 ]
  [0.43529412 0.36078432 0.33333334]
  [0.12941177 0.0627451  0.03137255]
  ...
  [0.12941177 0.03529412 0.        ]
  [0.1254902  0.03137255 0.        ]
  [0.12156863 0.02745098 0.        ]]]"
